RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_ND,MODIFY_DATE
3,337660,419529,-12.9172222,45.1391667,-125502,450821,NL17,SD38-02,T,ISL,,MF,0,,,,N,,,Chissioua,KARONI CHISSIOUA,Chissioua Karoni,Chissioua Karoni,1997-12-23
3,337862,419761,-12.9366667,45.1119444,-125612,450643,NL16,SD38-02,T,HLL,,MF,0,,,,N,,,Mlima,KARONI MLIMA,Mlima Karoni,Mlima Karoni,1997-12-23
3,337860,419759,-12.9361111,45.1291667,-125610,450745,NL16,SD38-02,H,STM,,MF,0,,,,N,,,Mro,KARONI MROOUA,Mro oua Karoni,Mro oua Karoni,1997-12-23
3,337802,419697,-12.9738889,45.155,-125826,450918,NL16,SD38-02,H,STM,,MF,0,,,,N,,,Mro,KAROVARA MROOUA,Mro oua Karovara,Mro oua Karovara,1997-12-23
1,337088,418911,-12.8283333,45.1108333,-124942,450639,NL18,SD38-02,P,PPL,,MF,0,,,,N,,,,KAVANI,Kavani,Kavani,1997-12-23
3,336732,418463,-12.7788889,45.2188889,-124644,451308,NL28,SD38-02,P,PPLX,,MF,0,,,,N,,,,KAVANI,Kavani,Kavani,1997-12-23
3,337570,419428,-12.9105556,45.1905556,-125438,451126,NL27,SD38-02,P,PPL,,MF,0,,,,N,,,,KAVANI,Kavani,Kavani,1997-12-23
3,335409,416886,-12.7216667,45.0544444,-124318,450316,NL09,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,KAVANI MRONI,Mroni Kavani,Mroni Kavani,1997-12-23
3,337858,419757,-12.935,45.1347222,-125606,450805,NL17,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,KAVANI MRONI,Mroni Kavani,Mroni Kavani,1997-12-23
3,335388,416864,-12.6927778,45.0744444,-124134,450428,NL09,SD38-02,L,LCTY,,MF,0,,,,N,,,,KETABE,Kétabé,Ketabe,1997-12-23
3,336723,418453,-12.7330556,45.2047222,-124359,451217,NL29,SD38-02,H,STM,,MF,0,,,,N,,,Mro,KIRISSONI MROOUA,Mro oua Kirissoni,Mro oua Kirissoni,1997-12-23
3,337779,419674,-12.9822222,45.1925,-125856,451133,NL26,SD38-02,T,PASS,,MF,0,,,,N,,,Mtsanga,KOLOBATSOUMOU MTSANGA,Mtsanga Kolo Batsoumou,Mtsanga Kolo Batsoumou,1997-12-23
3,337050,418870,-12.8352778,45.2322222,-125007,451356,NL28,SD38-02,T,ISL,,MF,0,,,,N,,,Chissioua,KOLOISSA CHISSIOUA,Chissioua Kolo Issa,Chissioua Kolo Issa,1997-12-23
3,337147,418985,-12.8488889,45.1791667,-125056,451045,NL17,SD38-02,T,SPUR,,MF,0,,,,N,,,,KOMBENI,Kombéni,Kombeni,1997-12-23
3,337776,419670,-12.9797222,45.1947222,-125847,451141,NL26,SD38-02,T,PASS,,MF,0,,,,N,,,Mtsanga,KOMBOBATO MTSANGA,Mtsanga Kombo Bato,Mtsanga Kombo Bato,1997-12-23
1,334959,416365,-12.6538889,45.0252778,-123914,450131,NM00,SD38-02,T,PT,,MF,0,,,,N,,,Rassi,KOME RASSI,Rassi Komé,Rassi Kome,1997-12-23
3,335974,417571,-12.7336111,45.2041667,-124401,451215,NL29,SD38-02,P,PPL,,MF,0,,,,V,,,,KONGO,Kongo,Kongo,1997-12-23
3,335975,417573,-12.7302778,45.2116667,-124349,451242,NL29,SD38-02,T,PT,,MF,0,,,,V,,,,KONGO POINTEDE,Pointe de Kongo,Pointe de Kongo,1997-12-23
3,336774,418514,-12.8022222,45.1963889,-124808,451147,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,KOUALE,Koualé,Kouale,1997-12-23
3,336785,418524,-12.7952778,45.1641667,-124743,450951,NL18,SD38-02,P,PPLQ,,MF,0,,,,N,,,,KOUALE,Koualé,Kouale,1997-12-23
3,336772,418512,-12.8072222,45.2016667,-124826,451206,NL28,SD38-02,H,STM,,MF,0,,,,N,,,Mro,KOUALE MROOUA,Mro oua Koualé,Mro oua Kouale,1997-12-23
3,336783,418523,-12.7811111,45.1841667,-124652,451103,NL18,SD38-02,T,SLP,,MF,0,,,,N,,,,KOUALEDZINDZANO,Koualé Dzindzano,Kouale Dzindzano,1997-12-23
3,336775,418515,-12.795,45.1861111,-124742,451110,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,KOUALELEGION,Koualé-Légion,Kouale-Legion,1997-12-23
3,335974,417570,-12.7336111,45.2041667,-124401,451215,NL29,SD38-02,P,PPL,,MF,0,,,,N,,,,KOUNGOU,Koungou,Koungou,1997-12-23
3,335972,417568,-12.7275,45.2002778,-124339,451201,NL29,SD38-02,T,BCH,,MF,0,,,,N,,,Plage,KOUNGOU PLAGEDE,Plage de Koungou,Plage de Koungou,1997-12-23
3,335975,417572,-12.7302778,45.2116667,-124349,451242,NL29,SD38-02,T,PT,,MF,0,,,,N,,,Pointe,KOUNGOU POINTEDE,Pointe de Koungou,Pointe de Koungou,1997-12-23
3,336813,418562,-12.785,45.2702778,-124706,451613,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,LABATTOIR,Labattoir,Labattoir,1997-12-23
3,337045,418864,-12.7844444,45.2775,-124704,451639,NL38,SD38-02,P,PPLX,,MF,0,,,,N,,,,LAFERME,La Ferme,La Ferme,1997-12-23
3,337058,418878,-12.9052778,45.2122222,-125419,451244,NL27,SD38-02,H,RF,,MF,0,,,,N,,,Récif,LAMINOIR RECIFDU,Récif du Laminoir,Recif du Laminoir,1997-12-23
