Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2018;35238;Rennes;Masculin;Brayan;2
2018;35238;Rennes;Masculin;Christian;2
2018;35238;Rennes;Masculin;Eliakim;3
2018;35238;Rennes;Masculin;Elio;7
2018;35238;Rennes;Masculin;Eloan;4
2018;35238;Rennes;Masculin;Elyo;2
2018;35238;Rennes;Masculin;Ernest;7
2018;35238;Rennes;Masculin;Aodren;1
2018;35238;Rennes;Masculin;Aouen;1
2018;35238;Rennes;Masculin;Ashot;1
2018;35238;Rennes;Masculin;Ayad;1
2018;35238;Rennes;Masculin;Jocelyn;2
2018;35238;Rennes;Masculin;Diaz;1
2018;35238;Rennes;Masculin;Enguerran;1
2018;35238;Rennes;Masculin;Lenzo;2
2018;35238;Rennes;Masculin;Ethian;1
2018;35238;Rennes;Masculin;Germain;1
2018;35238;Rennes;Masculin;Gévynho;1
2018;35238;Rennes;Masculin;Gwen;1
2018;35238;Rennes;Féminin;Anaïssa;1
2018;35238;Rennes;Féminin;Ana-Luisa;1
2018;35238;Rennes;Féminin;Anélya;1
2018;35238;Rennes;Féminin;Anne-Fleur;1
2018;35238;Rennes;Féminin;Aya-Camille;1
2018;35238;Rennes;Féminin;Azem;1
2018;35238;Rennes;Féminin;Isaure;2
2018;35238;Rennes;Féminin;Izia;5
2018;35238;Rennes;Féminin;Carolina;1
2018;35238;Rennes;Féminin;Catalina;1
2018;35238;Rennes;Féminin;Joyce;2
2018;35238;Rennes;Féminin;Djessi-Paule;1
2018;35238;Rennes;Féminin;Edenne;1
2018;35238;Rennes;Féminin;Eliabel;1
2018;35238;Rennes;Féminin;Faryal;1
2018;35238;Rennes;Féminin;Heather;1
2018;35238;Rennes;Féminin;Hélina;1
2018;35238;Rennes;Féminin;Margaux;23
2018;35238;Rennes;Féminin;Maïna;5
2018;35238;Rennes;Féminin;Luccia;1
2018;35238;Rennes;Féminin;Malak-Ines;1
2018;35238;Rennes;Féminin;Mallory;1
2018;35238;Rennes;Féminin;Manyssa;1
2018;35238;Rennes;Féminin;Melina;1
2018;35238;Rennes;Féminin;Melya;1
2018;35238;Rennes;Féminin;Meylicya;1
2018;35238;Rennes;Féminin;Pauline;7
2018;35238;Rennes;Féminin;Naélia;1
2018;35238;Rennes;Féminin;Naïssa;1
2018;35238;Rennes;Féminin;Naomie;1
2018;35238;Rennes;Féminin;Nayla;1
2018;35238;Rennes;Féminin;Roxanne;2
2018;35238;Rennes;Féminin;Noëmie;1
2018;35238;Rennes;Féminin;Safia;3
2018;35238;Rennes;Féminin;Safiya;2
2018;35238;Rennes;Féminin;Sianna;1
2018;35238;Rennes;Féminin;Tess;2
2018;35238;Rennes;Féminin;Tahssin;1
2018;35238;Rennes;Féminin;Yélèna;1
2018;35238;Rennes;Féminin;Romi;1
2018;35238;Rennes;Féminin;Soraya;3
2018;35238;Rennes;Féminin;Tasnim;2
2018;35238;Rennes;Féminin;Vicky;2
2018;35238;Rennes;Féminin;Yara;3
2018;35238;Rennes;Féminin;Yasmine;6
2018;35238;Rennes;Masculin;Robin;27
2018;35238;Rennes;Masculin;Nyls;1
2018;35238;Rennes;Masculin;Pierre-Jean;1
2018;35238;Rennes;Masculin;Sly;1
2018;35238;Rennes;Masculin;Sores;1
2018;35238;Rennes;Masculin;Thiam;1
2018;35238;Rennes;Masculin;Volodia;1
2018;35238;Rennes;Féminin;Assiya;3
2018;35238;Rennes;Féminin;Edène;2
2018;35238;Rennes;Masculin;Jules;33
2018;35238;Rennes;Masculin;Dyméo;1
2018;35238;Rennes;Masculin;Elham;1
2018;35238;Rennes;Masculin;Émile;1
2018;35238;Rennes;Masculin;Francis;1
2018;35238;Rennes;Masculin;Garic;1
2018;35238;Rennes;Masculin;Luca;2
2018;35238;Rennes;Masculin;Léopold;6
2018;35238;Rennes;Masculin;Manaé;1
2018;35238;Rennes;Masculin;Preston;2
2018;35238;Rennes;Féminin;Irène;2
2018;35238;Rennes;Féminin;Béryl;1
2018;35238;Rennes;Féminin;Félicie;1
2018;35238;Rennes;Féminin;Graciela;1
2018;35238;Rennes;Féminin;Hind;1
2018;35238;Rennes;Féminin;Ilona;1
2018;35238;Rennes;Féminin;Lyana;3
2018;35238;Rennes;Masculin;Eliam;2
2018;35238;Rennes;Masculin;Ethan;25
2018;35238;Rennes;Masculin;Amenadiel;1
2018;35238;Rennes;Masculin;Benyamin;1
2018;35238;Rennes;Féminin;Kessylia;1
2018;35238;Rennes;Féminin;Kheïra;1
2018;35238;Rennes;Féminin;Kimpa;1
2018;35238;Rennes;Féminin;Laila;1
2018;35238;Rennes;Féminin;Lénie;1
2018;35238;Rennes;Féminin;Léona;1
2018;35238;Rennes;Féminin;Maëlyne;5
2018;35238;Rennes;Féminin;Lilia;1
2018;35238;Rennes;Féminin;Lilit;1
2018;35238;Rennes;Féminin;Lilly;1
2018;35238;Rennes;Féminin;Liziane;1
2018;35238;Rennes;Féminin;Luana;1
2018;35238;Rennes;Féminin;Lyse-Danielle;1
2018;35238;Rennes;Féminin;Maëlynn;1
2018;35238;Rennes;Féminin;Nora;12
2018;35238;Rennes;Féminin;Mélanaëlle;1
2018;35238;Rennes;Féminin;Méléanne;1
2018;35238;Rennes;Féminin;Méleïzy;1
2018;35238;Rennes;Féminin;Méléna;1
2018;35238;Rennes;Féminin;Raphaëlle;5
2018;35238;Rennes;Féminin;Paz;1
2018;35238;Rennes;Féminin;Rim;1
2018;35238;Rennes;Féminin;Sidonie;3
2018;35238;Rennes;Féminin;Romie;1
2018;35238;Rennes;Féminin;Shania;1
2018;35238;Rennes;Féminin;Sigrid;1
2018;35238;Rennes;Féminin;Soanne;1
2018;35238;Rennes;Féminin;Steicy-Shakila;1
2018;35238;Rennes;Féminin;Sterlita;1
2018;35238;Rennes;Féminin;Sylia;1
2018;35238;Rennes;Féminin;Taïska;1
2018;35238;Rennes;Masculin;Edoh;1
2018;35238;Rennes;Masculin;Éliel;1
2018;35238;Rennes;Masculin;Kingsley;4
2018;35238;Rennes;Masculin;Elyaz;1
2018;35238;Rennes;Masculin;Enée;1
2018;35238;Rennes;Masculin;Loevan;2
2018;35238;Rennes;Masculin;Fatih-Mehmed;1
2018;35238;Rennes;Masculin;Housni;1
2018;35238;Rennes;Masculin;Malonn;2
2018;35238;Rennes;Masculin;Manoa;2
2018;35238;Rennes;Masculin;Jaison;1
2018;35238;Rennes;Masculin;Jayden;1
2018;35238;Rennes;Masculin;Mathias;3
2018;35238;Rennes;Masculin;Jezekel;1
2018;35238;Rennes;Masculin;Karikalan;1
2018;35238;Rennes;Masculin;Kény;1
2018;35238;Rennes;Masculin;Khalid;1
2018;35238;Rennes;Masculin;Launy;1
2018;35238;Rennes;Masculin;Mylann;2
2018;35238;Rennes;Masculin;Lyziano;1
2018;35238;Rennes;Masculin;Maëlann;1
2018;35238;Rennes;Masculin;Mahdi;1
2018;35238;Rennes;Masculin;Paco;3
2018;35238;Rennes;Masculin;Quentin;3
2018;35238;Rennes;Masculin;Melwan;1
2018;35238;Rennes;Masculin;Mohammad-Jalal;1
2018;35238;Rennes;Féminin;Anahid-Wissal;1
2018;35238;Rennes;Féminin;Anaya;1
2018;35238;Rennes;Féminin;Angélie;1
2018;35238;Rennes;Féminin;Armelle;1
2018;35238;Rennes;Féminin;Bahiya;1
2018;35238;Rennes;Féminin;Carla;1
2018;35238;Rennes;Féminin;Cassie;1
2018;35238;Rennes;Féminin;Jeanne;25
2018;35238;Rennes;Féminin;Djersey;1
2018;35238;Rennes;Féminin;Eléïna;1
2018;35238;Rennes;Féminin;Elyann;1
2018;35238;Rennes;Féminin;Ezia;1
2018;35238;Rennes;Féminin;Fanny;1
2018;35238;Rennes;Féminin;Lily;17
2018;35238;Rennes;Féminin;Gladys;1
2018;35238;Rennes;Féminin;Hira;1
2018;35238;Rennes;Féminin;Imaé;1
2018;35238;Rennes;Féminin;Isabelle;1
2018;35238;Rennes;Féminin;Léana;7
2018;35238;Rennes;Féminin;Jayana;1
2018;35238;Rennes;Féminin;Jelena;1
2018;35238;Rennes;Féminin;Kaïnah;1
2018;35238;Rennes;Masculin;Naveen;1
2018;35238;Rennes;Masculin;Nelson;1
2018;35238;Rennes;Masculin;Niel;1
2018;35238;Rennes;Masculin;Nour-Edine;1
2018;35238;Rennes;Masculin;Pape;1
2018;35238;Rennes;Masculin;Sullyvan;2
2018;35238;Rennes;Masculin;Swan;5
2018;35238;Rennes;Masculin;Swann;3
2018;35238;Rennes;Masculin;Sekou;1
2018;35238;Rennes;Masculin;Souad;1
2018;35238;Rennes;Masculin;Tahis;1
2018;35238;Rennes;Masculin;Tayson;1
2018;35238;Rennes;Masculin;Teodor;1
2018;35238;Rennes;Masculin;Tommy;1
2018;35238;Rennes;Masculin;Vasco;1
2018;35238;Rennes;Masculin;Warël;1
2018;35238;Rennes;Masculin;Willo;1
2018;35238;Rennes;Masculin;Yesun;1
2018;35238;Rennes;Masculin;Zacharie;2
2018;35238;Rennes;Masculin;Youness;1
2018;35238;Rennes;Féminin;Camille;30
2018;35238;Rennes;Féminin;Charlie;11
2018;35238;Rennes;Féminin;Amani;2
2018;35238;Rennes;Féminin;Elia;4
2018;35238;Rennes;Féminin;Alaka;1
2018;35238;Rennes;Masculin;Bilal;2
2018;35238;Rennes;Masculin;Elie;3
2018;35238;Rennes;Masculin;Esteban;3
2018;35238;Rennes;Masculin;Adem;1
2018;35238;Rennes;Masculin;Aédan;1
2018;35238;Rennes;Masculin;Angelo;1
2018;35238;Rennes;Masculin;Ilyes;5
2018;35238;Rennes;Masculin;Anir;1
2018;35238;Rennes;Masculin;Bakasodiaby;1
2018;35238;Rennes;Masculin;Basil;1
2018;35238;Rennes;Féminin;Lauréline;2
2018;35238;Rennes;Féminin;Fatou;1
2018;35238;Rennes;Féminin;Livia;2
2018;35238;Rennes;Féminin;Hazel;1
2018;35238;Rennes;Féminin;Lucy;2
2018;35238;Rennes;Féminin;Lyanna;4
2018;35238;Rennes;Féminin;Isra-Layla;1
2018;35238;Rennes;Féminin;Janis;1
2018;35238;Rennes;Féminin;Joline;1
2018;35238;Rennes;Féminin;Kélya;1
2018;35238;Rennes;Féminin;Lexa;1
2018;35238;Rennes;Féminin;Leyli;1
2018;35238;Rennes;Féminin;Lily-Rose;1
2018;35238;Rennes;Féminin;Linoa;1
2018;35238;Rennes;Féminin;Méline;2
2018;35238;Rennes;Féminin;Lysa;1
2018;35238;Rennes;Féminin;Naëlya;2
2018;35238;Rennes;Féminin;Maolenn;1
2018;35238;Rennes;Féminin;Nazdar;1
2018;35238;Rennes;Féminin;Neela;1
2018;35238;Rennes;Féminin;Nerea;1
2018;35238;Rennes;Féminin;Noélia;1
2018;35238;Rennes;Féminin;Pénélope;1
2018;35238;Rennes;Féminin;Reinad;1
2018;35238;Rennes;Féminin;Shaïna;2
2018;35238;Rennes;Féminin;Rinad;1
2018;35238;Rennes;Féminin;Mariam;2
2018;35238;Rennes;Féminin;Risna;1
2018;35238;Rennes;Féminin;Kindia;1
2018;35238;Rennes;Féminin;Sâmiha;1
2018;35238;Rennes;Féminin;Mathilde;10
2018;35238;Rennes;Féminin;Sarobidy;1
2018;35238;Rennes;Féminin;Maëlie;6
2018;35238;Rennes;Féminin;Shanna;1
2018;35238;Rennes;Féminin;Maïwenn;15
2018;35238;Rennes;Féminin;Séréna;2
2018;35238;Rennes;Féminin;Lise-Aïa;1
2018;35238;Rennes;Féminin;Solène;1
2018;35238;Rennes;Féminin;Lucianna;1
2018;35238;Rennes;Féminin;Sophie;1
2018;35238;Rennes;Féminin;Mai;1
2018;35238;Rennes;Féminin;Tesnim;1
2018;35238;Rennes;Féminin;Malak;1
2018;35238;Rennes;Féminin;Tiana;1
2018;35238;Rennes;Féminin;Noa;2
2018;35238;Rennes;Féminin;Vivienne;1
2018;35238;Rennes;Féminin;Nada;1
2018;35238;Rennes;Féminin;Yalaïna;1
2018;35238;Rennes;Féminin;Nathania;1
2018;35238;Rennes;Féminin;Zaïna;1
2018;35238;Rennes;Féminin;Naÿla;1
2018;35238;Rennes;Féminin;Élise;2
2018;35238;Rennes;Féminin;Rose;46
2018;35238;Rennes;Féminin;Zehra-Asel;1
2018;35238;Rennes;Féminin;Nine;1
2018;35238;Rennes;Masculin;Benjamin;8
2018;35238;Rennes;Féminin;Salomé;6
2018;35238;Rennes;Masculin;Alan;2
2018;35238;Rennes;Féminin;Sara;2
2018;35238;Rennes;Masculin;Arthus;2
2018;35238;Rennes;Féminin;Princilia;1
2018;35238;Rennes;Masculin;Edouard;2
2018;35238;Rennes;Féminin;Sibylle;1
2018;35238;Rennes;Masculin;Elias;10
2018;35238;Rennes;Féminin;Sira;1
2018;35238;Rennes;Masculin;Elliott;2
2018;35238;Rennes;Féminin;Sitaghannah;1
2018;35238;Rennes;Masculin;Ewen;15
2018;35238;Rennes;Féminin;Souad;1
2018;35238;Rennes;Masculin;Félix;5
2018;35238;Rennes;Féminin;Soundousse;1
2018;35238;Rennes;Masculin;Alcide;1
2018;35238;Rennes;Féminin;Sylmie;1
2018;35238;Rennes;Masculin;Artur;1
2018;35238;Rennes;Féminin;Tatiana;1
2018;35238;Rennes;Féminin;Cali;3
2018;35238;Rennes;Féminin;Wenxi;1
2018;35238;Rennes;Féminin;Yael;1
2018;35238;Rennes;Féminin;Alycia;1
2018;35238;Rennes;Masculin;Éwen;1
2018;35238;Rennes;Masculin;Ezra;1
2018;35238;Rennes;Masculin;Malone;3
2018;35238;Rennes;Masculin;Filimoehala;1
2018;35238;Rennes;Masculin;Louenn;2
2018;35238;Rennes;Masculin;Jason;1
2018;35238;Rennes;Masculin;Louis;48
2018;35238;Rennes;Masculin;Lucien;12
2018;35238;Rennes;Masculin;Mathis;20
2018;35238;Rennes;Masculin;Goulwenn;1
